Keyword	Avg. Monthly Searches (exact match only)	Competition	Suggested bid
phd in management	1K – 10K	0.29	3.62
phd in psychology	1K – 10K	0.55	24.62
phd in economics	1K – 10K	0.15	2.7
phd in germany	1K – 10K	0.26	0.98
phd in law	1K – 10K	0.18	3.28
phd in finance	1K – 10K	0.35	6.16
masters degree in psychology	1K – 10K	0.75	27.41
phd in mathematics	1K – 10K	0.16	2.12
phd in accounting	1K – 10K	0.45	14
bachelor's degree in spanish	1K – 10K	0.2	20.79
phd in engineering	1K – 10K	0.11	2.05
phd in physics	1K – 10K	0.11	1.85
phd in social work	1K – 10K	0.52	13.14
bachelor's degree in psychology	1K – 10K	0.72	34.95
phd in philosophy	1K – 10K	0.19	6.02
phd in chemistry	1K – 10K	0.14	1.09
phd in history	1K – 10K	0.12	2.61
phd in marketing	1K – 10K	0.41	12.96
masters degree in social work	1K – 10K	0.78	33.76
phd in statistics	100 – 1K	0.1	2.24
phd in sociology	100 – 1K	0.22	1.74
phd in neuroscience	100 – 1K	0.18	3.15
phd in english literature	100 – 1K	0.14	6.3
bachelor's degree in accounting	1K – 10K	0.65	31.43
masters degree in spanish	100 – 1K	0.21	8.77
phd in biology	100 – 1K	0.13	3.23
phd in project management	100 – 1K	0.56	7.49
phd in biochemistry	100 – 1K	0.13	6.07
masters degree in law	1K – 10K	0.66	11.32
masters degree in finance	100 – 1K	0.8	37.89
bachelor degree in science	1K – 10K	0.39	17.11
master degree in germany	1K – 10K	0.49	1.02
phd in environmental science	100 – 1K	0.19	1.15
bachelor's degree in social work	100 – 1K	0.75	30.39
phd in music	100 – 1K	0.25	4.17
masters degree in marketing	100 – 1K	0.82	25.75
bachelor's degree in biology	100 – 1K	0.22	13.9
bachelor degree in law	100 – 1K	0.28	10.94
phd in creative writing	100 – 1K	0.26	2.5
masters degree in engineering	1K – 10K	0.4	6.4
bachelor's degree in engineering	100 – 1K	0.2	6.56
masters degree in economics	100 – 1K	0.47	12.68
phd in criminology	100 – 1K	0.38	12.28
phd in linguistics	100 – 1K	0.18	3.39
phd in science	100 – 1K	0.14	4.96
bachelor's degree in economics	100 – 1K	0.17	3.56
masters degree in project management	100 – 1K	0.88	21.4
phd in geography	100 – 1K	0.14	0.61
phd in genetics	100 – 1K	0.12	0.8
phd in design	100 – 1K	0.28	3.64
phd in spanish	100 – 1K	0.08	7.95
bachelor's degree in finance	100 – 1K	0.65	22.94
masters degree in history	100 – 1K	0.68	14.08
phd in software engineering	100 – 1K	0.14	5.72
bachelor's degree in marketing	100 – 1K	0.64	23.62
bachelor degree in french	100 – 1K	0.03	
phd in strategic management	100 – 1K	0.38	3.12
phd in italy	100 – 1K	0.24	0.83
masters degree in mathematics	100 – 1K	0.52	10.72
masters degree in management	100 – 1K	0.7	18.42
phd in applied mathematics	100 – 1K	0.14	
phd in health sciences	100 – 1K	0.54	11.91
masters degree in biology	100 – 1K	0.35	6.45
phd in french	100 – 1K	0.04	
phd in religious studies	100 – 1K	0.47	0.99
masters degree in sociology	100 – 1K	0.51	12.76
phd in geology	100 – 1K	0.14	0.72
bachelor's degree in sociology	100 – 1K	0.48	9.69
masters degree in science	100 – 1K	0.36	9.82
masters degree in statistics	100 – 1K	0.57	7.94
phd in pathology	100 – 1K	0.14	1.34
phd in humanities	100 – 1K	0.25	6.89
masters degree in criminology	100 – 1K	0.66	14.17
phd in art history	100 – 1K	0.24	0.08
master degree in chinese	100 – 1K	0.28	3.14
bachelor degree in chinese	100 – 1K	0.04	15.88
bachelor's degree in health science	100 – 1K	0.84	19.04
masters degree in french	100 – 1K	0.14	8.09
phd in medical science	100 – 1K	0.23	4.81
masters degree in chemistry	100 – 1K	0.33	4.68
masters degree in physics	100 – 1K	0.3	10.26
bachelor's degree in mathematics	100 – 1K	0.35	5.12
bachelor's degree in history	100 – 1K	0.59	12.55
bachelor's degree in graphic design	100 – 1K	0.65	17.59
bachelor's degree in management	100 – 1K	0.52	27.08
masters degree in philosophy	100 – 1K	0.44	7.48
