id_ranking,rank,id_keyword,id_site
66634,43,726,76
67456,75,726,448
68484,62,726,966
72954,29,717,3654
73619,84,717,4030
75805,38,717,5078
75710,97,726,4344
77369,72,726,5150
78657,85,726,5791
79867,76,726,6410
79991,98,726,6472
80489,51,717,7446
80494,52,717,7449
80576,71,726,6748
80624,7,717,7516
80630,44,726,6777
80733,51,726,6823
80817,59,717,7624
80888,81,717,7667
80963,58,717,7712
80967,15,717,7714
81075,99,717,7776
81133,92,717,7805
81290,25,717,7880
81300,93,717,7884
81334,17,717,7901
81393,21,717,7928
81453,82,717,7956
81629,68,717,8045
81631,57,717,8046
81635,65,717,8048
81755,53,717,8113
81781,85,717,8129
81936,82,726,7381
81993,78,726,7404
81825,24,717,8155
81938,88,717,8222
82038,61,717,8277
82107,94,717,8312
82195,69,717,8361
82252,83,717,8403
82084,32,726,7449
82258,10,726,7516
82380,65,726,7537
82260,71,717,8409
82264,55,717,8412
82339,67,717,8473
82429,49,717,8545
82456,5,717,8568
82461,34,717,8572
82502,73,717,8605
82595,17,726,7589
82701,25,726,7617
82730,41,726,7625
82776,60,726,7644
82836,47,726,7667
82770,60,717,8794
82841,77,717,8838
82949,89,717,8902
82988,14,717,8921
83030,62,717,8941
82946,26,726,7712
83105,13,717,8980
83136,26,717,8997
83158,45,717,9010
83181,40,717,9026
83198,2,717,9037
83200,91,717,9038
83249,74,717,9068
83250,36,717,9069
83256,19,717,9073
83368,54,726,7880
83436,19,726,7901
83484,6,726,7920
83554,52,726,7953
83344,22,717,9137
83347,20,717,9139
83413,75,717,9186
83462,78,717,9216
83650,86,717,9317
83879,68,726,8219
83908,40,726,8241
83987,66,726,8276
84241,61,726,8395
84268,64,726,8409
84280,88,726,8414
84573,4,726,8513
84514,83,718,428
84534,34,718,440
84539,38,718,443
84687,59,726,8556
84907,76,718,658
84981,69,726,8695
84984,79,726,8697
85062,37,726,8734
85205,92,726,8815
85472,91,726,8950
85529,35,726,8972
85552,77,726,8981
85576,3,726,8991
85581,74,726,8993
85619,89,726,9009
85666,36,726,9032
85696,90,726,9046
85732,49,726,9068
85551,51,718,976
85757,63,726,9080
85793,99,726,9094
85804,53,726,9099
85886,73,726,9137
85941,7,726,9163
85987,93,726,9186
86078,94,726,9232
86190,25,718,1312
87515,95,718,2011
89167,45,718,2920
89334,98,718,3014
90426,31,718,3654
91221,33,718,3940
91379,71,718,4007
94834,85,718,6498
94846,86,718,6506
94894,55,718,6542
94985,84,718,6601
95221,70,718,6766
95315,90,718,6823
95416,72,718,6879
95425,41,718,6886
95438,99,718,6896
95510,22,718,6952
96609,74,718,7752
96877,88,718,7948
96886,30,718,7953
97022,79,718,8049
97184,4,718,8150
97193,29,718,8156
98071,42,718,8710
98446,93,718,9005
98555,21,718,9098
98715,64,718,9216
105043,82,719,4030
106211,2,727,7420
106214,75,727,7421
106273,43,727,7449
106647,56,727,7644
106726,45,727,7693
107015,12,727,7805
107033,86,727,7813
107139,36,727,7865
107228,80,727,7919
107270,27,727,7953
107400,81,727,8046
107405,54,727,8049
107547,37,727,8150
107555,97,727,8156
107598,58,727,8187
107715,20,727,8276
107833,69,727,8360
107909,33,727,8407
107922,38,727,8416
107957,91,727,8443
108010,63,727,8473
108165,48,727,8568
108181,59,727,8578
108390,32,727,8693
108421,61,727,8710
108579,42,727,8813
108612,70,727,8838
108830,84,727,8979
108832,99,727,8980
108833,85,727,8981
108869,67,727,9005
108871,98,727,9006
108880,83,727,9011
108889,87,727,9017
108895,96,727,9021
108906,44,727,9030
108916,15,727,9038
108928,16,727,9047
108953,64,727,9066
108964,89,727,9073
108984,79,727,9088
108995,5,727,9098
109010,29,727,9108
109019,76,727,9114
109033,92,727,9124
109084,53,727,9159
109112,90,727,9178
109237,4,727,9256
109241,77,727,9259
109363,19,727,9325
109788,68,728,237
110430,39,728,625
110503,31,728,672
110507,24,728,674
110592,21,728,730
111749,65,728,1539
113495,7,719,7393
113761,56,728,2920
113828,18,728,2972
113771,32,719,7469
113961,98,719,7510
114174,67,719,7571
114184,91,719,7574
114211,71,728,3256
114272,8,719,7598
114333,50,719,7620
114541,39,719,7715
114558,87,719,7723
114793,65,719,7826
114845,53,719,7849
114897,1,728,3654
115090,14,719,7937
115168,51,719,7970
115201,73,719,7982
115504,51,728,4055
115835,3,719,8150
115972,9,728,4405
116107,34,728,4495
116410,11,719,8354
116430,58,719,8361
116461,86,719,8372
116522,61,719,8395
116568,77,719,8413
116571,35,728,4782
116747,87,728,4899
116984,93,719,8560
117012,10,719,8572
117087,34,719,8599
117096,48,719,8601
117405,1,719,8697
117431,28,719,8703
117797,69,719,8831
118072,94,719,8949
118110,75,719,8965
118125,85,719,8971
118127,47,719,8972
118152,18,719,8981
118173,42,719,8992
118179,70,719,8995
118207,36,719,9009
118219,81,719,9014
118222,45,719,9015
118276,17,719,9038
118283,72,719,9041
118346,35,719,9068
118397,76,719,9089
118469,80,719,9120
118571,83,719,9163
118655,60,719,9207
118702,46,719,9228
118866,49,719,9291
118954,38,719,9317
119160,7,728,6460
119226,54,728,6525
119315,86,728,6590
119346,55,728,6607
119439,46,728,6665
119443,23,728,6667
119643,41,728,6779
119699,27,728,6811
119853,8,728,6903
119887,40,728,6921
120012,13,728,6989
120023,26,728,6995
120037,25,728,7003
121096,90,728,7644
121097,90,728,7645
121529,36,728,7920
121607,17,728,7972
121757,3,728,8075
123221,74,728,8978
123320,12,728,9038
123446,29,728,9109
126469,98,729,1589
130613,69,729,4141
135134,85,729,6902
135940,39,729,7380
135976,25,729,7404
136047,90,729,7446
136210,75,729,7540
136249,82,729,7561
136258,34,729,7566
136268,4,729,7571
136274,92,729,7575
136358,72,729,7620
136439,32,729,7671
136509,18,729,7714
136696,26,729,7823
136757,28,729,7865
136897,5,729,7956
137023,27,729,8037
137062,63,729,8060
137130,64,729,8100
137206,60,729,8141
137444,31,729,8271
137600,42,729,8375
137799,13,720,7404
137653,71,729,8412
137683,37,729,8430
137750,88,729,8473
137767,21,729,8482
137998,73,729,8622
137926,74,720,7449
137950,21,720,7460
138079,92,720,7516
138145,20,729,8703
138189,52,720,7571
138194,94,720,7574
138200,39,720,7577
138328,73,720,7644
138333,73,720,7647
138433,50,729,8838
138496,11,720,7734
138622,72,720,7805
138676,7,729,8940
138800,81,729,8998
138880,3,729,9041
138736,40,720,7875
138754,6,720,7884
138804,58,720,7909
138826,31,720,7920
138833,26,720,7923
138919,9,729,9064
138928,54,729,9068
139023,8,729,9123
139046,89,729,9137
139088,61,729,9157
139089,64,720,8037
139101,41,720,8043
139211,3,720,8100
139194,78,729,9208
139253,24,729,9236
139261,74,729,9239
139302,90,720,8147
139485,89,720,8265
139634,43,720,8413
139930,24,720,8513
140037,18,720,8545
140104,71,720,8568
140122,16,720,8574
140495,9,720,8697
141077,84,720,8956
141113,42,720,8972
141169,7,720,8997
141198,32,720,9009
141202,48,720,9011
141241,50,720,9028
141263,79,720,9037
141268,83,720,9039
141284,59,720,9045
141329,15,720,9058
141476,81,720,9114
141496,50,720,9122
141503,62,720,9124
141533,30,720,9134
141542,33,720,9137
141549,54,720,9139
141756,96,720,9207
141979,85,720,9259
142014,78,720,9278
142537,76,721,293
145036,46,721,1404
152948,15,730,7380
152998,50,730,7404
153075,48,730,7446
153143,82,730,7486
153527,43,730,7714
153541,92,730,7723
153613,16,730,7765
153678,11,730,7807
153763,22,730,7865
153793,79,730,7884
153846,81,730,7923
153854,86,730,7928
153891,78,730,7956
154030,31,730,8060
154131,73,730,8141
154272,60,730,8241
154306,76,730,8265
154320,21,730,8277
154342,89,730,8296
154365,98,730,8314
154442,25,730,8361
154464,66,730,8375
154496,72,730,8395
154523,41,730,8412
154531,44,730,8416
154679,53,730,8513
154789,62,730,8593
154801,28,730,8602
154926,30,730,8693
154940,83,730,8703
154983,17,730,8734
155122,45,730,8838
155163,18,730,8866
155263,84,730,8940
155264,93,730,8941
155266,26,730,8943
155313,95,730,8981
155348,75,730,9009
155373,87,730,9030
155386,64,730,9041
155394,9,730,9047
155408,61,730,9056
155425,71,730,9068
155428,40,730,9069
155512,38,730,9120
155534,52,730,9134
155535,90,730,9135
155539,96,730,9137
155603,55,730,9178
155638,77,730,9201
156043,91,731,76
156907,68,731,625
157054,83,731,721
157067,24,731,730
157608,44,731,1067
158428,92,731,1610
158595,65,731,1703
159020,77,731,1981
158954,54,721,7339
159059,49,721,7381
159106,80,721,7404
159136,20,721,7420
159187,82,721,7446
159194,94,721,7449
159241,15,721,7471
159274,98,721,7486
159352,81,721,7519
159384,78,721,7532
159533,2,721,7598
159600,83,721,7624
160198,52,721,7865
160220,56,721,7875
160278,67,721,7901
160332,89,721,7928
160541,57,721,8003
160316,30,731,2722
160320,58,731,2724
160642,26,721,8035
161083,90,731,3229
161007,75,721,8150
161185,32,721,8219
161475,55,721,8336
161589,39,721,8375
161604,66,721,8381
161617,96,721,8386
161764,21,731,3654
161999,24,721,8513
162123,13,721,8568
162139,99,721,8576
162184,48,721,8597
162254,31,721,8622
162286,71,721,8635
162336,52,731,4007
162456,10,721,8697
162556,85,721,8734
162757,87,731,4268
162848,25,721,8850
162907,8,721,8877
163157,72,721,8972
163249,64,721,9005
163259,27,721,9009
163329,74,721,9037
163378,60,721,9056
163402,59,721,9068
163454,12,721,9089
163467,73,721,9094
163584,18,721,9135
164522,86,731,5338
164620,63,722,293
164993,67,722,448
165279,64,731,5824
165628,66,731,6076
166062,54,731,6373
166237,96,731,6460
166317,71,731,6498
166335,33,731,6506
166342,85,731,6509
166434,57,731,6559
166478,31,731,6582
166492,75,731,6588
166619,38,731,6665
166746,35,731,6746
166753,99,731,6749
166758,93,731,6751
166818,12,731,6782
166946,74,731,6841
167158,48,731,6961
167214,37,731,6995
167242,56,731,7011
167258,27,731,7021
167902,49,731,7404
167926,7,731,7420
168083,32,731,7516
169644,98,731,8361
169738,69,731,8414
169821,72,731,8465
169862,16,731,8491
169993,10,731,8572
170039,94,731,8601
170221,2,731,8697
170246,50,731,8710
170470,79,731,8825
170517,53,731,8853
170684,51,731,8948
170734,18,731,8972
170883,5,731,9037
170893,43,731,9041
171017,4,731,9098
171090,15,731,9138
171140,45,731,9163
171396,70,731,9317
172025,52,732,337
172664,42,732,721
172679,53,732,730
174512,64,732,1764
176156,18,732,2724
176493,98,732,2927
176570,60,732,2972
176584,35,732,2980
176830,90,732,3101
177554,72,732,3461
177881,13,732,3654
178527,71,732,4007
179547,56,722,6745
181039,28,722,7380
181101,37,722,7404
181149,1,722,7420
181215,62,722,7446
181221,31,722,7449
181266,81,722,7471
181334,97,722,7495
181503,4,722,7566
181507,70,722,7567
181527,51,722,7575
181568,55,722,7590
181682,36,722,7624
181856,69,722,7671
182018,21,722,7712
182024,57,722,7714
182076,2,722,7734
182454,39,732,6373
182464,50,722,7890
182493,25,722,7901
182568,88,722,7931
182740,65,722,8003
182677,29,732,6506
182730,32,732,6536
182733,73,732,6538
182739,22,732,6542
182767,51,732,6559
182804,43,732,6582
182848,94,732,6607
183116,94,722,8156
182947,25,732,6665
183083,81,732,6746
183142,14,732,6782
183265,30,732,6863
183295,93,732,6886
183429,52,722,8266
183319,8,732,6902
183472,37,732,6995
183485,20,732,7003
183499,36,732,7011
183519,59,732,7021
183652,45,722,8361
183942,87,722,8465
184052,18,722,8513
184128,64,722,8545
184046,69,732,7341
184113,34,732,7380
184115,9,732,7381
184252,83,722,8599
184458,58,722,8693
184466,12,722,8697
184343,50,732,7512
184349,11,732,7516
184460,40,732,7571
184470,70,732,7576
184515,91,732,7598
184476,93,722,8703
184659,79,722,8792
184669,60,722,8797
184700,99,722,8813
184741,47,722,8831
184760,46,722,8838
