,0
0,University of Oxford
1,California Institute of Technology
2,Stanford University
3,University of Cambridge
4,Massachusetts Institute of Technology
5,Harvard University
6,Princeton University
7,Imperial College London
8,ETH Zurich – Swiss Federal Institute of Technology Zurich
9,"University of California, Berkeley"
10,University of Chicago
11,Yale University
12,University of Pennsylvania
13,"University of California, Los Angeles"
14,University College London
15,Columbia University
16,Johns Hopkins University
17,Duke University
18,Cornell University
19,Northwestern University
20,University of Michigan
21,University of Toronto
22,Carnegie Mellon University
23,National University of Singapore
24,London School of Economics and Political Science
25,University of Washington
26,University of Edinburgh
27,Karolinska Institute
28,Peking University
29,École Polytechnique Fédérale de Lausanne
30,LMU Munich
31,New York University
32,Georgia Institute of Technology
33,University of Melbourne
34,Tsinghua University
35,University of British Columbia
36,University of Illinois at Urbana-Champaign
37,King’s College London
38,University of Tokyo
39,KU Leuven
40,"University of California, San Diego"
41,McGill University
42,Heidelberg University
43,University of Hong Kong
44,University of Wisconsin-Madison
45,Technical University of Munich
46,Australian National University
47,"University of California, Santa Barbara"
48,Hong Kong University of Science and Technology
49,University of Texas at Austin
50,Brown University
51,"University of California, Davis"
52,University of Minnesota
53,Nanyang Technological University
54,University of Manchester
55,University of North Carolina at Chapel Hill
56,Humboldt University of Berlin
57,Washington University in St Louis
58,Delft University of Technology
59,University of Queensland
60,University of Southern California
61,University of Sydney
62,University of Amsterdam
63,Boston University
64,Wageningen University & Research
65,École Normale Supérieure
66,"University of Maryland, College Park"
67,Pennsylvania State University
68,Erasmus University Rotterdam
69,Purdue University
70,University of Bristol
71,Ohio State University
72,Seoul National University
73,Monash University
74,Free University of Berlin
75,Chinese University of Hong Kong
76,Leiden University
77,University of New South Wales
78,RWTH Aachen University
79,University of Groningen
80,University of Pittsburgh
81,Dartmouth College
82,Emory University
83,Technical University of Berlin
84,University of Warwick
85,Utrecht University
86,Rice University
87,University of Glasgow
88,Korea Advanced Institute of Science and Technology (KAIST)
89,University of Tübingen
90,University of Helsinki
91,Kyoto University
92,Uppsala University
93,Maastricht University
94,University of Freiburg
95,Durham University
96,Lund University
97,Aarhus University
98,University of Basel
99,"University of California, Irvine"
