keyword,site,search engine,location,groups,language,2017-01-03,2017-01-04,2017-01-05
bachelor's degree in Academic Studies In Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Accounting,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Adult Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Applied Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Aquatic Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Archaeology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Art History,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Arts & Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Astronomy & Planetary Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Biochemistry,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Biology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Business & Commercial Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Business & Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Business Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Chemistry,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Childhood & Youth Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Children,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
Young People & Families,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Chinese,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Classical Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Communication Technologies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Computing & IT,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Counselling,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Creative Writing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Criminology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Development,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Early Years,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Earth Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Ecology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Economics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
