,University,Website
0,1 December University of Alba Iulia,www.uab.ro
1,2nd Military Medical University,www.smmu.edu.cn
2,3rd Military Medical University,www.tmmu.edu.cn
3,4th Military Medical University,www.fmmu.edu.cn
4,AAB College,aab-edu.net
5,Aalborg Business College,www.ah.dk
6,Aalborg University,www.auc.dk
7,Aarhus School of Architecture,www.a-aarhus.dk
8,Aarhus School of Business,www.hha.dk
9,Aarhus Technical College,www.ats.dk
10,Aarhus University,www.au.dk
11,Abai State University,www.kaznpu.kz
12,Abant Izzet Baysal University,www.ibu.edu.tr
13,Abasyn University Peshawar,www.abasyn.edu.pk
14,Abdus Salam international centre for theoretical physics,www.ictp.trieste.it
15,Abfi Institute Perbanas Jakarta,www.perbanasinstitute.ac.id
16,Abia State Polytechnic,www.abiapoly.edu.ng
17,Abia State University,www.absu.edu.ng
18,ABM University College,www.abm.ac.bw
19,Abo Akademi University,www.abo.fi
20,ABTI American University of Nigeria,www.aun.edu.ng
21,Abubakar Tafawa Balewa University,www.atbu.edu.ng
22,Abu Dhabi University,www.adu.ac.ae
23,Abylai Khan University,www.ablaikhan.kz
24,Academia de Studii Economice din Bucuresti,www.ase.ro
25,Academia Nacional Superior de Orquesta,www.oml.pt
26,Academia Tehnica Militara,www.mta.ro
27,Academy of Arts,www.akademiaearteve.edu.al
28,"Academy of Arts ""George Enescu"" Iasi",www.arteiasi.ro
29,Academy of Arts in Banská Bystrica,www.aku.sk
30,Academy of Drama and Film,www.filmacademy.hu
31,"Academy of Economics ""Dimitur A. Tscenov""",www.uni-svishtov.bg
32,Academy of Economics in Cracow,www.ae.krakow.pl
33,Academy of Economics in Katowice,www.ae.katowice.pl
34,Academy of Economics in Poznan,www.ae.poznan.pl
35,Academy of Economics in Wroclaw,www.ae.wroc.pl
36,Academy of Economic Studies of Moldova,www.ase.md
37,Academy of Fine Arts,www.kuva.fi
38,Academy of Fine Arts and Design in Bratislava,www.vsvu.sk
39,Academy of Humanities and Economics in Lodz,www.ahe.edu.pl
40,"Academy of International Economic and Political Relations, Gdynia",www.wsms.edu.pl
41,Academy of Management and Entrepreneurship,www.ame.ru
42,"Academy of Music, Dance and Fine Arts",amti.hit.bg
43,"Academy of Music ""Georghe Dima"" Cluj-Napoca",www.amgd.eu
44,"Academy of Performing Arts, Film and TV Fakulty",www.famu.cz
45,Academy of Public Administration,www.dia.edu.az
46,Academy of Public Administration of Belarus,www.pac.by
47,Academy of Sports and Physical Training,www.aefs.edu.al
48,Academy of the Ministry of Internal Affairs of the Republic of Belarus,academy.mia.by
49,Acadia University,www.acadiau.ca
50,Accra Polytechnic ,www.accrapolytechnic.edu.gh
51,Acdemic Center for Law and Business,www.clb.ac.il
52,Acharya Nagarjuna University,www.nagarjunauniversity.ac.in
53,Acharya Ranga Agricultural University,www.angrau.net
54,Adama Science and Technology University,www.astu.edu.et
55,Adamawa State University,www.adsu.edu.ng
56,Adam Mickiewicz University of Poznan,www.amu.edu.pl
57,Adamson University,www.adamson.edu.ph
