,Country,University,Website
0,Afghanistan,Afghan University,www.afghanuniversity.edu.af
1,Afghanistan,Al-Birony University,www.au.edu.af
2,Afghanistan,American University of Afghanistan,www.auaf.edu.af
3,Afghanistan,Aria Institute of Higher Education,www.aria.edu.af
4,Afghanistan,Ariana Institute of Higher Education,www.ariana.edu.af
5,Afghanistan,Badakhshan University,www.badakhshan.edu.af
6,Afghanistan,Baghlan University,www.baghlan.edu.af
7,Afghanistan,Bakhtar University,www.bakhtar.edu.af
8,Afghanistan,Balkh University,www.ba.edu.af
9,Afghanistan,Bamiyan University,www.bu.edu.af
10,Afghanistan,Bost University,www.bost.edu.af
11,Afghanistan,Dawat University,www.dawat.edu.af
12,Afghanistan,Dunya Institute of Higher Education,www.dunya.edu.af
13,Afghanistan,Faryab Higher Education Institute,www.faryab.edu.af
14,Afghanistan,Ghazni University,www.gu.edu.af
15,Afghanistan,Herat University,www.hu.edu.af
16,Afghanistan,Ibn Sina University,www.ibnesina.edu.af
17,Afghanistan,Jawzjan University,www.ju.edu.af
18,Afghanistan,Kaboora Institute of Higher Education,www.kaboora.edu.af
19,Afghanistan,Kabul Education University,www.keu.edu.af
20,Afghanistan,Kabul Health Sciences Institute,www.kabuli.edu.af
21,Afghanistan,Kabul Medical University,www.kmu.edu.af
22,Afghanistan,Kabul University,www.ku.edu.af
23,Afghanistan,Kandahar University,www.kan.edu.af
24,Afghanistan,Kardan University,www.kardan.edu.af
25,Afghanistan,Karwan Institute of Higher Education,www.karwan.edu.af
26,Afghanistan,Kateb Institute of Higher Education,www.kateb.edu.af
27,Afghanistan,Khana-e-Noor Institute of Higher Education,www.ken.edu.af
28,Afghanistan,Khurasan University,www.kumsa.net
29,Afghanistan,Maryam Institute of Higher Education,www.maryam.edu.af
30,Afghanistan,Nangarhar University,www.nu.edu.af
31,Afghanistan,National Military Academy of Afghanistan,www.nmaa.edu.af
32,Afghanistan,Paktia University,www.pu.edu.af
33,Afghanistan,Pamir University,www.pamir.edu.af
34,Afghanistan,Parwan University,www.parwan.edu.af
35,Afghanistan,Polytechnical University of Kabul,www.polytechnic-kabul.org
36,Afghanistan,Rana Institute of Higher Education,www.rihs.edu.af
37,Afghanistan,Sadat Institute of Higher Education,www.sadat.edu.af
38,Afghanistan,Salam University,www.salam.edu.af
39,Afghanistan,Shaikh Zayed University,www.szu.edu.af
40,Afghanistan,Taj Institute of Higher Education,www.taj.edu.af
41,Afghanistan,Takhar University,www.tu.edu.af
42,Albania,Academy of Arts,www.akademiaearteve.edu.al
43,Albania,Academy of Sports and Physical Training,www.aefs.edu.al
44,Albania,Agricultural University of Tirane,www.ubt.edu.al
45,Albania,American University of Tirana,www.uat.edu.al
46,Albania,Beder University,www.beder.edu.al
47,Albania,Epoka University,www.epoka.edu.al
48,Albania,Polytechnic University of Tirane,www.upt.al
49,Albania,"University of Elbasan ""Aleksander Xhuvani""",www.uniel.edu.al
50,Albania,"University of Gjirokstra ""Eqerem Cabej""",www.uogj.edu.al
51,Albania,"University of Korca ""Fan Noli""",www.unkorce.edu.al
52,Albania,University of New York Tirana,www.unyt.edu.al
53,Albania,"University of Shkodra ""Luigj Gurakuqi""",www.unishk.edu.al
54,Albania,University of Tirana,www.unitir.edu.al
55,Albania,"University of Vlora ""Ismail Qemali""",www.univlora.edu.al
56,Albania,University “Pavaresia” Vlore,www.unipavaresia.edu.al
57,Algeria,Centre Universitaire de Jijel,www.univ-jijel.dz
58,Algeria,Centre Universitaire de Tebessa,www.univ-tebessa.dz
59,Algeria,Centre Universitaire de Tiaret,www.univ-tiaret.dz
60,Algeria,Centre Universitaire d'Oum El Bouaghi,www.univ-oeb.dz
61,Algeria,"Université Abou Bekr Belkaid, Tlemcen",www.univ-tlemcen.dz
62,Algeria,Université Amar Telidji,www.lagh-univ.dz
63,Algeria,Université Badji Mokhtar,www.univ-annaba.dz
64,Algeria,Université d'Alger,www.univ-alger.dz
65,Algeria,Université d'Alger 3,www.univ-alger3.dz
66,Algeria,Université de Batna,www.univ-batna.dz
