Afghanistan;0.076;0.103;0.121;0.175;0.226;0.297;0.309;0.321;0.332;0.344;0.357;0.365;0.365;0.365
Albania;0.541;0.528;0.537;0.529;0.565;0.595;0.596;0.598;0.600;0.601;0.602;0.609;0.609;0.609
Algeria;0.321;0.347;0.382;0.424;0.493;0.563;0.570;0.581;0.598;0.615;0.631;0.643;0.643;0.643
Andorra;;;;;;;;;;;0.670;0.670;0.670;0.670
Angola;;;;;0.299;0.365;0.380;0.395;0.410;0.426;0.441;0.474;0.474;0.474
Antigua and Barbuda;;;;;;;;;;;0.687;0.681;0.681;0.681
Argentina;0.538;0.598;0.627;0.648;0.711;0.726;0.730;0.729;0.732;0.756;0.783;0.783;0.783;0.783
Armenia;;;0.633;0.631;0.668;0.671;0.685;0.701;0.690;0.701;0.701;0.701;0.701;0.701
Australia;0.870;0.870;0.874;0.894;0.895;0.902;0.905;0.907;0.913;0.916;0.919;0.922;0.927;0.927
Austria;0.592;0.614;0.661;0.699;0.730;0.747;0.756;0.759;0.771;0.780;0.794;0.794;0.794;0.794
Azerbaijan;;;;;0.638;0.667;0.673;0.679;0.679;0.687;0.697;0.700;0.700;0.700
Bahamas;;;;;0.668;0.708;0.708;0.714;0.714;0.714;0.714;0.714;0.714;0.714
Bahrain;0.425;0.535;0.574;0.619;0.656;0.711;0.703;0.706;0.708;0.711;0.714;0.714;0.714;0.714
Bangladesh;0.202;0.219;0.251;0.292;0.330;0.381;0.388;0.395;0.397;0.415;0.433;0.447;0.447;0.447
Barbados;0.549;0.612;0.628;0.662;0.684;0.714;0.720;0.725;0.736;0.747;0.743;0.740;0.740;0.740
Belarus;;;;;;0.717;0.738;0.759;0.779;0.812;0.812;0.817;0.820;0.820
Belgium;0.626;0.655;0.705;0.804;0.835;0.792;0.794;0.796;0.797;0.802;0.807;0.812;0.812;0.812
Belize;0.538;0.548;0.563;0.578;0.603;0.660;0.676;0.678;0.679;0.676;0.675;0.678;0.689;0.689
Benin;0.144;0.186;0.201;0.235;0.269;0.339;0.352;0.364;0.377;0.390;0.403;0.414;0.414;0.414
Bhutan;;;;;;;;;;;0.410;0.421;0.421;0.421
Bolivia;0.411;0.466;0.528;0.577;0.620;0.654;0.655;0.656;0.662;0.668;0.674;0.674;0.674;0.674
Bosnia and Herzegovina;;;;;;0.653;0.651;0.648;0.652;0.649;0.650;0.655;0.655;0.655
Botswana;0.282;0.363;0.459;0.516;0.576;0.607;0.603;0.607;0.611;0.615;0.619;0.619;0.619;0.619
Brazil;0.362;0.415;0.463;0.524;0.581;0.614;0.627;0.639;0.657;0.658;0.662;0.661;0.661;0.661
Brunei Darussalam;0.519;0.541;0.589;0.626;0.646;0.672;0.682;0.681;0.677;0.682;0.678;0.681;0.692;0.692
Bulgaria;0.579;0.610;0.632;0.646;0.676;0.710;0.713;0.725;0.728;0.735;0.747;0.749;0.749;0.749
Burkina Faso;;;;;;0.172;0.178;0.192;0.206;0.217;0.228;0.242;0.250;0.250
Burundi;0.086;0.135;0.170;0.182;0.187;0.242;0.281;0.303;0.327;0.351;0.370;0.370;0.370;0.370
Cambodia;0.353;0.358;0.363;0.372;0.400;0.478;0.485;0.491;0.494;0.495;0.495;0.495;0.495;0.495
Cameroon;0.265;0.300;0.336;0.344;0.357;0.408;0.406;0.429;0.446;0.463;0.480;0.486;0.486;0.486
Canada;0.749;0.763;0.809;0.826;0.808;0.853;0.853;0.852;0.851;0.851;0.850;0.850;0.850;0.850
Cape Verde;;;;;0.442;0.442;0.461;0.458;0.464;0.467;0.472;0.483;0.483;0.483
Central African Republic;0.176;0.208;0.213;0.211;0.248;0.280;0.286;0.291;0.296;0.302;0.311;0.318;0.318;0.318
Chad;;;;;0.186;0.203;0.210;0.218;0.225;0.236;0.236;0.256;0.256;0.256
Chile;0.528;0.576;0.625;0.615;0.650;0.707;0.705;0.717;0.740;0.737;0.740;0.746;0.746;0.746
China;0.358;0.366;0.406;0.436;0.478;0.531;0.544;0.561;0.575;0.590;0.599;0.610;0.610;0.610
Colombia;0.387;0.406;0.439;0.489;0.536;0.574;0.580;0.591;0.603;0.609;0.611;0.613;0.602;0.602
Comoros;;;;;;0.402;0.409;0.416;0.423;0.430;0.437;0.443;0.450;0.450
Congo;0.440;0.464;0.456;0.445;0.410;0.459;0.467;0.475;0.483;0.491;0.499;0.505;0.511;0.511
Democratic Republic of the Congo;0.241;0.249;0.253;0.272;0.297;0.316;0.320;0.323;0.346;0.349;0.355;0.361;0.372;0.372
Costa Rica;0.445;0.464;0.503;0.546;0.584;0.594;0.602;0.611;0.627;0.637;0.640;0.652;0.654;0.654
Cote d'Ivoire;0.204;0.217;0.232;0.261;0.302;0.343;0.351;0.359;0.368;0.376;0.384;0.389;0.389;0.389
Croatia;;;0.497;0.553;0.656;0.708;0.719;0.729;0.737;0.744;0.760;0.770;0.770;0.770
Cuba;0.553;0.586;0.625;0.620;0.660;0.735;0.771;0.803;0.819;0.819;0.790;0.768;0.743;0.743
Cyprus;0.465;0.513;0.546;0.655;0.676;0.731;0.740;0.751;0.765;0.778;0.765;0.771;0.776;0.776
Czech Republic;;0.689;0.693;0.726;0.783;0.850;0.848;0.854;0.851;0.860;0.863;0.866;0.866;0.866
Denmark;0.672;0.704;0.711;0.751;0.804;0.864;0.863;0.865;0.867;0.868;0.873;0.873;0.873;0.873
